Filename,Vocabulary Length,Complexity,Spelling Errors
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\1-MAR001-1.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\12-MAR011_1.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\13-MAR012_1.txt,20,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\26-DIY001_2.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\27-DIY002_1.txt,20,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\30_1.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\30_5.txt,31,11,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\32_3.txt,26,6,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\33_3.txt,22,6,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\34-nt_1.txt,27,5,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\35-nt_3.txt,30,8,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-MAR002.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-MAR003.2.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-MAR003.txt,20,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-TMS001.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-TMS002.txt,6,1,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-TMS003.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\4-TMS004.txt,21,2,
D:\OneDrive - Habib University\Kaavish\nlp-spelling-dysign\data_transcibed\other-MAR007.txt,57,25,
